label,source,n_qubits,depth,num_gates,circuit,median_c2,mean_c2,max_c2,median_cancellation,operator_magic
sample_n1_d7_014,sample,1,7,7,H0 T0 H0 S0 H0 T0 T0,1.3862943611198908,1.3862943611198908,1.3862943611198908,0.8664339756999316,0.2876820724517817
sample_n1_d7_015,sample,1,7,7,T0 S0 H0 H0 S0 S0 H0,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599454,0.28768207245178
sample_n1_d7_016,sample,1,7,7,S0 H0 T0 H0 T0 H0 H0,2.079441541679836,2.079441541679836,2.079441541679836,1.2130075659799042,0.5753641449035615
sample_n1_d7_017,sample,1,7,7,H0 S0 S0 T0 S0 T0 H0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.0
sample_n1_d7_018,sample,1,7,7,T0 H0 T0 T0 H0 S0 H0,1.3862943611198908,1.3862943611198908,1.3862943611198908,14.162084148244247,0.28768207245178123
sample_n1_d7_019,sample,1,7,7,H0 T0 H0 H0 H0 S0 H0,2.772588722239781,2.772588722239781,2.772588722239781,1.559581156259877,0.2876820724517809
sample_n1_d7_020,sample,1,7,7,H0 H0 S0 T0 T0 T0 T0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.0
sample_n1_d7_021,sample,1,7,7,T0 S0 H0 H0 H0 T0 T0,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.2876820724517809
sample_n1_d7_022,sample,1,7,7,S0 S0 T0 H0 H0 T0 H0,1.3862943611198908,1.3862943611198908,1.3862943611198908,0.6931471805599454,0.0
sample_n1_d7_023,sample,1,7,7,H0 H0 H0 H0 S0 T0 S0,2.0794415416798357,2.0794415416798357,2.0794415416798357,14.508657738524219,0.2876820724517809
sample_n1_d7_024,sample,1,7,7,S0 H0 H0 H0 H0 S0 T0,2.0794415416798357,2.0794415416798357,2.0794415416798357,14.508657738524219,0.2876820724517809
sample_n1_d7_025,sample,1,7,7,S0 H0 S0 T0 S0 T0 H0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.3465735902799727,0.0
sample_n1_d7_026,sample,1,7,7,H0 S0 T0 S0 H0 H0 T0,1.3862943611198908,1.3862943611198908,1.3862943611198908,0.6931471805599453,0.0
sample_n1_d7_027,sample,1,7,7,T0 H0 T0 S0 H0 S0 H0,1.3862943611198908,1.3862943611198908,1.3862943611198908,0.8664339756999316,0.575364144903561
sample_n1_d7_028,sample,1,7,7,T0 T0 S0 T0 S0 H0 T0,0.0,0.0,0.0,0.0,0.5753641449035618
sample_n1_d7_029,sample,1,7,7,S0 S0 T0 H0 H0 S0 S0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.28768207245178123
sample_n1_d7_030,sample,1,7,7,H0 H0 T0 H0 H0 S0 H0,2.772588722239781,2.772588722239781,2.772588722239781,1.3862943611198906,0.2876820724517809
sample_n1_d8_001,sample,1,8,8,T0 S0 S0 T0 H0 H0 S0 S0,0.6931471805599453,0.6931471805599453,0.6931471805599453,13.815510557964274,0.0
sample_n1_d8_002,sample,1,8,8,H0 S0 T0 T0 T0 H0 S0 T0,0.6931471805599452,0.6931471805599452,0.6931471805599453,0.519860385419959,0.5753641449035622
sample_n1_d8_003,sample,1,8,8,S0 S0 T0 S0 S0 H0 S0 T0,0.0,0.0,0.0,0.0,0.5753641449035615
sample_n1_d8_004,sample,1,8,8,H0 S0 H0 T0 H0 H0 H0 S0,2.772588722239781,2.772588722239781,2.772588722239781,1.559581156259877,0.28768207245177974
sample_n1_d8_005,sample,1,8,8,T0 T0 H0 S0 H0 T0 S0 T0,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.3465735902799726,0.0
sample_n1_d8_006,sample,1,8,8,S0 S0 H0 H0 S0 S0 S0 H0,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.0
sample_n1_d8_007,sample,1,8,8,S0 S0 T0 S0 H0 S0 T0 S0,0.0,0.0,0.0,0.0,0.5753641449035615
sample_n1_d8_008,sample,1,8,8,H0 T0 S0 T0 H0 T0 S0 H0,1.3862943611198906,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.2876820724517809
