n_qubits,layers,t_density,expected_t_gates,repeat,circuit_seed,task,global_p2_estimate,global_k90_estimate,task_p2,exp_task_p2,k50,k90,k95,k90_lower_bound,k90_over_exp_p2,terminal_support,labels_requested,labels_used,capped_labels,avg_terminal_terms
8,5,0.3,12.0,5,74959160222867972,hamiltonian_terms,3.2575845460038564,1954,1.3658573062639008,3.919081465281575,30,157,191,3.1744559868780757,40.06040736607142,276,21,21,0,17.428571428571427
8,5,0.3,12.0,5,74959160222867972,transported_local_z,3.2575845460038564,1954,1.6133518117552368,5.019607843137255,18,55,67,4.065882352941177,10.95703125,95,8,8,0,11.875
8,5,0.3,12.0,5,74959160222867972,all_pauli,3.2575845460038564,1954,3.247716132745519,25.73150541504433,331,1512,1820,20.84251938618591,58.76065063476563,2641,24,24,0,112.04166666666667
8,5,0.3,12.0,6,114683883990672135,local_z,2.752223275142669,875,0.43620624966244487,1.5468277945619335,5,12,14,1.2529305135951663,7.7578125,19,8,8,0,2.375
8,5,0.3,12.0,6,114683883990672135,local_transverse,2.752223275142669,875,1.2913393580197081,3.6376554174067497,16,44,50,2.9465008880994676,12.095703125,56,16,16,0,5.5
8,5,0.3,12.0,6,114683883990672135,hamiltonian_terms,2.752223275142669,875,1.0080102499198782,2.7401433866361686,22,69,83,2.2195161431752966,25.181163999123854,107,21,21,0,6.238095238095238
8,5,0.3,12.0,6,114683883990672135,transported_local_z,2.752223275142669,875,0.860700085967384,2.3648156885978864,8,28,32,1.915500707764288,11.840246212423164,40,8,8,0,5.0
8,5,0.3,12.0,6,114683883990672135,all_pauli,2.752223275142669,875,2.6321232334552334,13.90325844899278,147,805,1097,11.261639343684152,57.90009607843535,1993,24,24,0,83.70833333333333
8,5,0.3,12.0,7,799428307245072521,local_z,2.002408165197009,303,0.7576857016975165,2.1333333333333333,9,15,17,1.728,7.03125,18,8,8,0,2.25
8,5,0.3,12.0,7,799428307245072521,local_transverse,2.002408165197009,303,0.8723486100176563,2.392523364485981,13,36,44,1.9379439252336448,15.046875000000002,56,16,16,0,3.875
8,5,0.3,12.0,7,799428307245072521,hamiltonian_terms,2.002408165197009,303,0.8403774175426297,2.3172413793103446,20,63,71,1.8769655172413793,27.187500000000004,79,21,21,0,3.761904761904762
8,5,0.3,12.0,7,799428307245072521,transported_local_z,2.002408165197009,303,0.9602099658089905,2.6122448979591835,9,25,28,2.115918367346939,9.5703125,31,8,8,0,3.875
8,5,0.3,12.0,7,799428307245072521,all_pauli,2.002408165197009,303,1.745483624025336,5.728671328671329,61,180,216,4.640223776223777,31.4208984375,294,24,24,0,12.75
8,5,0.3,12.0,8,242000399525307048,local_z,2.06297627866432,703,0.2876820724517809,1.3333333333333333,5,11,12,1.08,8.25,12,8,8,0,1.5
8,5,0.3,12.0,8,242000399525307048,local_transverse,2.06297627866432,703,1.2478920382607714,3.4829931972789114,15,69,85,2.8212244897959184,19.810546875,110,16,16,0,7.875
8,5,0.3,12.0,8,242000399525307048,hamiltonian_terms,2.06297627866432,703,1.1053312389168546,3.020224719101124,26,76,88,2.4463820224719104,25.163690476190474,112,21,21,0,5.904761904761905
8,5,0.3,12.0,8,242000399525307048,transported_local_z,2.06297627866432,703,0.867686596911845,2.3813953488372093,6,42,50,1.9289302325581397,17.63671875,62,8,8,0,7.75
8,5,0.3,12.0,8,242000399525307048,all_pauli,2.06297627866432,703,2.2174472146992796,9.183856502242152,110,469,546,7.438923766816144,51.06787109375,654,24,24,0,27.25
8,5,0.3,12.0,9,592416358402000030,local_z,3.3008970878880364,1798,1.102526187989246,3.011764705882353,9,28,32,2.439529411764706,9.296875,38,8,8,0,4.75
8,5,0.3,12.0,9,592416358402000030,local_transverse,3.3008970878880364,1798,1.092284693937049,2.981077147016012,14,50,58,2.4146724890829696,16.7724609375,78,16,16,0,8.0625
8,5,0.3,12.0,9,592416358402000030,hamiltonian_terms,3.3008970878880364,1798,1.449246839101827,4.259904912836767,34,132,159,3.4505229793977814,30.986607142857146,200,21,21,0,10.666666666666666
